,year,gdp,cons,Consumption percentage share of gdp
count,4.0,4.0,4.0,4.0
mean,1997.5,9.175,6.05,65.61755186532172
std,6.454972243679028,3.1030898579748967,2.157931107951935,1.3637497430775114
min,1990.0,5.9,3.8,64.40677966101694
25%,1993.75,7.174999999999999,4.625,64.45695807314898
50%,1997.5,8.899999999999999,5.85,65.5701754385965
75%,2001.25,10.899999999999999,7.2749999999999995,66.73076923076923
max,2005.0,13.0,8.7,66.92307692307692
